hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 0.00000, 5110.5, 5347.17, 5093.51, 0, 199.653, 208.905, 199.003, 10.4365
0, 0.00000, 5150.22, 5388.07, 5133.66, 0, 199.013, 208.206, 198.371, 10.3848
0, 0.00000, 5190.7, 5429.73, 5174.51, 0, 198.372, 207.509, 197.751, 10.3595
0, 0.00000, 5231.72, 5471.95, 5215.93, 0, 197.72, 206.801, 197.121, 10.3335
0, 0.00000, 5273.27, 5514.71, 5257.9, 0, 197.056, 206.081, 196.48, 10.3071
0, 0.00000, 5315.47, 5558.13, 5300.54, 0, 196.38, 205.347, 195.826, 10.28
0, 0.00000, 5358.31, 5602.2, 5343.84, 0, 195.69, 204.599, 195.159, 10.2524
0, 0.00000, 5401.76, 5646.89, 5387.77, 0, 194.988, 203.838, 194.481, 10.2242
0, 0.00000, 5445.93, 5692.31, 5432.46, 0, 194.27, 203.062, 193.788, 10.1954
0, 0.00000, 5490.79, 5738.45, 5477.87, 0, 193.539, 202.27, 193.081, 10.1658
0, 0.00000, 5536.2, 5785.14, 5523.85, 0, 192.795, 201.466, 192.363, 10.1358
0, 0.00000, 5582.4, 5832.63, 5570.65, 0, 192.035, 200.645, 191.629, 10.105
0, 0.00000, 5629.35, 5880.88, 5618.23, 0, 191.259, 199.807, 190.879, 10.0735
0, 0.00000, 5676.89, 5929.74, 5666.44, 0, 190.47, 198.955, 190.117, 10.0413
0, 0.00000, 5725.26, 5979.44, 5715.51, 0, 189.663, 198.085, 189.338, 10.0084
0, 0.00000, 5774.29, 6029.82, 5765.28, 0, 188.841, 197.2, 188.544, 9.97471
0, 0.00000, 5824.21, 6081.11, 5815.98, 0, 188, 196.294, 187.732, 9.94021
0, 0.00000, 5874.86, 6133.13, 5867.44, 0, 187.143, 195.372, 186.905, 9.90493
0, 0.00000, 5926.19, 6185.85, 5919.64, 0, 186.27, 194.433, 186.061, 9.8689
0, 0.00000, 5978.43, 6239.49, 5972.78, 0, 185.377, 193.473, 185.199, 9.83195
0, 0.00000, 6031.52, 6294.01, 6026.82, 0, 184.464, 192.494, 184.318, 9.7941
0, 0.00000, 6085.55, 6349.47, 6081.84, 0, 183.531, 191.492, 183.417, 9.75528
0, 0.00000, 6140.34, 6405.72, 6137.69, 0, 182.579, 190.472, 182.498, 9.71557
0, 0.00000, 6195.97, 6462.83, 6194.42, 0, 181.608, 189.431, 181.56, 9.67492
0, 0.00000, 6264.51, 8339.79, 6110.23, 0, 180.974, 161.272, 176.513, 24.9521
0, 0.00000, 6320.53, 8399.1, 6167.69, 0, 179.888, 160.039, 175.545, 25.0479
0, 0.00000, 6377.34, 8459.15, 6226.17, 0, 178.801, 158.782, 174.569, 25.1007
0, 0.00000, 6435.07, 8519.81, 6285.8, 0, 177.685, 157.497, 173.571, 25.1515
0, 0.00000, 8243.59, 8327.31, 6347.17, 0, 149.821, 151.64, 172.596, 29.9905
0, 0.00000, 8302.71, 8387.54, 6406.8, 0, 148.772, 150.287, 171.47, 29.504
0, 0.00000, 8361.98, 8448.19, 6467.41, 0, 147.462, 148.978, 170.351, 29.5477
0, 0.00000, 8193.75, 8503.1, 8266.19, 0, 142.165, 147.546, 143.407, 8.06714
0, 0.00000, 8252.68, 8563.06, 8328.36, 0, 140.846, 146.143, 142.136, 7.99608
0, 0.00000, 8312.17, 8623.88, 8391.33, 0, 139.499, 144.729, 140.825, 7.93652
0, 0.00000, 8372.17, 8685.23, 8454.92, 0, 138.131, 143.295, 139.493, 7.87584
0, 0.00000, 8432.94, 8747.38, 8519.41, 0, 136.735, 141.833, 138.135, 7.8136
0, 0.00000, 8494.19, 8810.05, 8584.5, 0, 135.319, 140.35, 136.756, 7.75003
0, 0.00000, 8556.17, 8873.46, 8650.46, 0, 133.877, 138.841, 135.35, 7.68488
0, 0.00000, 8618.83, 8937.59, 8717.22, 0, 132.408, 137.304, 133.918, 7.61812
0, 0.00000, 8682.12, 9002.38, 8784.77, 0, 130.914, 135.742, 132.459, 7.54978
0, 0.00000, 8746.01, 9067.8, 8853.04, 0, 129.395, 134.155, 130.976, 7.47986
0, 0.00000, 8810.58, 9133.94, 8922.15, 0, 127.848, 132.539, 129.465, 7.40821
0, 0.00000, 8875.84, 9200.8, 8992.1, 0, 126.273, 130.895, 127.925, 7.33479
0, 0.00000, 8941.71, 9268.3, 9062.81, 0, 124.671, 129.224, 126.358, 7.25963
0, 0.00000, 9008.23, 9336.51, 9134.34, 0, 123.041, 127.524, 124.761, 7.18263
0, 0.00000, 9075.38, 9405.38, 9206.67, 0, 121.382, 125.795, 123.136, 7.10377
0, 0.00000, 9143.25, 9475.01, 9279.89, 0, 119.692, 124.034, 121.479, 7.02289
0, 0.00000, 9211.76, 9545.33, 9353.93, 0, 117.972, 122.243, 119.791, 6.94002
0, 0.00000, 9280.86, 9616.28, 9428.73, 0, 116.223, 120.423, 118.073, 6.85518
0, 0.00000, 9350.67, 9688, 9504.45, 0, 114.441, 118.569, 116.322, 6.76814
0, 0.00000, 9421.1, 9760.39, 9580.97, 0, 112.628, 116.683, 114.538, 6.67897
0, 0.00000, 9492.18, 9833.48, 9658.35, 0, 110.782, 114.764, 112.72, 6.58754
0, 0.00000, 9563.93, 9907.3, 9736.61, 0, 108.901, 112.811, 110.867, 6.49377
0, 0.00000, 9636.23, 9981.73, 9815.63, 0, 106.99, 110.825, 108.98, 6.39775
0, 0.00000, 9709.2, 10056.9, 9895.54, 0, 105.042, 108.804, 107.057, 6.29923
0, 0.00000, 9782.82, 10132.8, 9976.33, 0, 103.059, 106.746, 105.097, 6.19817
0, 0.00000, 9856.99, 10209.3, 10057.9, 0, 101.042, 104.653, 103.101, 6.09463
0, 0.00000, 9931.8, 10286.5, 10140.3, 0, 98.9875, 102.522, 101.065, 5.9884
0, 0.00000, 10007.2, 10364.4, 10223.6, 0, 96.897, 100.355, 98.9918, 5.87924
0, 0.00000, 10083.2, 10443.2, 10307.6, 0, 94.7687, 98.1523, 96.8775, 5.76573
0, 0.00000, 10159.7, 10522.7, 10392.4, 0, 92.6034, 95.9119, 94.7241, 5.64951
0, 0.00000, 10236.8, 10602.9, 10478.1, 0, 90.3988, 93.6314, 92.5295, 5.53118
0, 0.00000, 10314.5, 10683.7, 10564.7, 0, 88.1544, 91.3101, 90.2928, 5.41017
0, 0.00000, 10392.6, 10765.1, 10652, 0, 85.8711, 88.9491, 88.0145, 5.28617
0, 0.00000, 10471.2, 10847.2, 10740.1, 0, 83.5466, 86.5459, 85.692, 5.15895
0, 0.00000, 10550.3, 10929.7, 10829, 0, 81.1819, 84.1014, 83.3262, 5.02852
0, 0.00000, 10629.9, 11012.9, 10918.6, 0, 78.7748, 81.6132, 80.9145, 4.8947
0, 0.00000, 10709.9, 11096.7, 11009, 0, 76.326, 79.0822, 78.4575, 4.75749
0, 0.00000, 10790.4, 11180.9, 11100.1, 0, 73.8354, 76.508, 75.9545, 4.61628
0, 0.00000, 10871.3, 11265.8, 11191.8, 0, 71.3012, 73.8889, 73.4035, 4.47099
0, 0.00000, 10952.5, 11351.1, 11284.1, 0, 68.7262, 71.2279, 70.8075, 4.32227
0, 0.00000, 11035.2, 11436.6, 11377.2, 0, 66.111, 68.5162, 68.1605, 4.16352
0, 0.00000, 11119.8, 11522.3, 11471.2, 0, 63.454, 65.7523, 65.4607, 3.99412
0, 0.00000, 11205, 11608.1, 11565.7, 0, 60.7578, 62.9456, 62.7153, 3.81942
0, 0.00000, 11290.3, 11694.2, 11660.6, 0, 58.0162, 60.0931, 59.9203, 3.64184
0, 0.00000, 11376, 11780.5, 11756, 0, 55.2271, 57.1925, 57.0734, 3.46138
0, 0.00000, 11462.1, 11867.2, 11852, 0, 52.389, 54.242, 54.1724, 3.27778
0, 0.00000, 11548.3, 11953.9, 11948.2, 0, 49.5056, 51.246, 51.2215, 3.09165
0, 0.00000, 11634.7, 12040.9, 12044.9, 0, 46.5719, 48.1994, 48.2154, 2.90277
0, 0.00000, 11721.2, 12128.1, 12142, 0, 43.5879, 45.1021, 45.1539, 2.71118
0, 0.00000, 11807.5, 12215.3, 12240, 0, 40.557, 41.9588, 42.0443, 2.52166
0, 0.00000, 11893.5, 12311.5, 12341.3, 0, 37.4765, 38.7932, 38.8879, 2.33146
